ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
19.20127289,13.795391,31.56807307,31.56807307,4.131681406,1
20.0672983,14.50838444,32.14553351,32.14553351,4.174557668,1
20.9333237,15.24294844,32.72079559,32.72079559,4.215674635,1
20.0672983,14.50838444,32.14553351,32.14553351,4.174557668,1
20.61548645,15.01005035,33.93759823,33.93759823,4.209320991,1
14.60696095,13.08714551,23.0064045,23.0064045,3.864709007,0
12.93477112,11.58345501,21.30350284,21.30350284,3.754299627,1
38.32667327,28.64746978,61.76054183,61.76054183,4.809901603,1
14.60696095,13.08714551,23.0064045,23.0064045,3.864709007,0
12.93477112,11.58345501,21.30350284,21.30350284,3.754299627,1
25.35146204,18.64531277,40.26401343,40.26401343,4.399939092,1
25.39190215,18.298951,40.2189063,40.2189063,4.399809784,0
16.01048741,15.05485289,26.34003719,26.34003719,3.969310513,1
33.57577512,25.1263719,54.73275882,54.73275882,4.689800858,1
38.25896703,30.46082912,62.88792879,62.88792879,4.812016002,1
38.91979983,32.56075687,64.11802735,64.11802735,4.838074873,1
38.84351002,29.08944294,62.61422283,62.61422283,4.825582864,1
38.06745355,28.53803507,61.52457767,61.52457767,4.805270445,1
38.10789367,28.26532426,61.39521097,61.39521097,4.80518609,1
36.91245971,27.7745789,59.19946782,59.19946782,4.772812876,1
38.81041003,32.88160399,64.32059222,64.32059222,4.84826173,1
35.08955574,27.10156309,55.13100279,55.13100279,4.719916232,1
43.94045461,32.73526933,68.2735506,68.2735506,4.942122632,1
38.08672423,28.73392872,61.58948984,61.58948984,4.818630669,1
39.51751681,33.02302534,65.0661073,65.0661073,4.860611948,1
19.78705933,14.90982105,33.90286316,33.90286316,4.160446457,1
19.78705933,15.04393692,33.86568179,33.86568179,4.16045001,1
19.78705933,14.90982105,33.90286316,33.90286316,4.160446457,1
21.71810964,16.61375528,37.33795212,37.33795212,4.255638679,1
24.45532867,19.15235869,40.26027067,40.26027067,4.374864299,1
37.85761676,30.88896172,61.37227198,61.37227198,4.804479223,1
13.23443095,11.34153559,21.60554034,21.60554034,3.764170284,1
14.894331,13.33635888,24.63133928,24.63133928,3.898835783,0
30.2093418,24.79146595,49.3929217,49.3929217,4.582321172,1
24.0074416,20.58761024,42.2780712,42.2780712,4.321616793,1
12.96328069,11.87119528,21.22562212,21.22562212,3.759816093,0
14.56776428,13.58017307,23.88073245,23.88073245,3.874423218,1
17.82182006,16.5839058,27.82190176,27.82190176,4.059127661,1
39.00651392,30.78285928,63.88718092,63.88718092,4.83030369,1
39.45440099,31.4105791,65.7095143,65.7095143,4.848573968,1
40.16150777,31.55160436,66.56228469,66.56228469,4.860920349,1
35.18325073,28.00226586,58.7942665,58.7942665,4.729138218,1
25.04583878,20.06949577,39.59504155,39.59504155,4.415091948,1
27.02453608,20.24603168,44.68772063,44.68772063,4.469796694,1
28.36979996,20.95873993,47.62121267,47.62121267,4.520678259,1
29.63418361,21.09658894,49.8881072,49.8881072,4.561221937,1
28.50769933,21.30788842,47.13017493,47.13017493,4.523106034,1
25.54137283,19.30768075,42.6166749,42.6166749,4.413484645,1
27.77208298,20.54628057,45.91943148,45.91943148,4.495452581,1
14.21842544,11.8177162,22.19881201,22.19881201,3.838297783,1
26.86925216,22.0302622,41.4028992,41.4028992,4.476946867,0
13.5324881,12.26668483,22.47875012,22.47875012,3.806532942,1
30.99164514,22.78488372,49.21030935,49.21030935,4.608392469,1
17.42470097,14.71308323,28.21004716,28.21004716,4.039853738,1
17.42470097,14.71308323,42.2780712,42.2780712,4.321616793,1
16.64864451,14.4092983,27.00745795,27.00745795,3.998909056,1
14.97521123,13.22173757,24.26141483,24.26141483,3.898364004,1
20.43291578,16.2382378,33.26612337,33.26612337,4.200303999,0
20.87171414,15.52911806,34.67268462,34.67268462,4.223056904,1
24.41328588,20.36383517,41.36194692,41.36194692,4.392979246,1
45.56379079,32.38854891,75.57767928,75.57767928,4.994269778,1
45.0561016,34.18442955,73.73294993,73.73294993,4.97666937,0
49.29874228,35.73556592,81.39512683,81.39512683,5.066815092,0
51.42006263,36.44398806,85.29014451,85.29014451,5.109013091,0
53.54138297,37.11954384,89.04671763,89.04671763,5.149502285,0
42.55708303,29.55004897,70.02707135,70.02707135,4.923179934,1
38.31444234,27.8369406,62.32869918,62.32869918,4.818355956,1
46.79972372,31.02064516,77.68930637,77.68930637,5.018050915,1
29.96235301,23.90884538,49.51609785,49.51609785,4.581574607,1
14.70566365,13.88682695,23.75971899,23.75971899,3.879056403,1
21.7970911,15.4838243,33.93743024,33.93743024,4.253791909,1
43.79289826,30.88802266,74.07256556,74.07256556,4.959895395,1
44.67834452,31.63880363,74.82512245,74.82512245,4.977230279,1
44.08062754,31.06226068,73.25812673,73.25812673,4.961321565,1
44.97501233,31.92272805,73.90182039,73.90182039,4.980239232,1
43.30457108,30.21927664,72.36371915,72.36371915,4.943636148,1
26.18175466,22.19810426,37.80413424,37.80413424,4.429192714,1
24.72487625,18.83759254,41.47898475,41.47898475,4.3828231,1
25.46049261,19.75019672,42.99530791,42.99530791,4.413728623,1
25.43198304,19.1804973,43.05772374,43.05772374,4.410894626,1
26.2080395,20.10160245,43.93868433,43.93868433,4.440838675,1
25.43198304,19.1804973,43.05772374,43.05772374,4.410894626,1
25.43198304,19.1804973,43.05772374,43.05772374,4.410894626,1
25.43198304,19.1804973,43.05772374,43.05772374,4.410894626,1
24.72487625,18.83759254,41.47898475,41.47898475,4.3828231,1
24.72487625,18.83759254,41.47898475,41.47898475,4.3828231,1
30.13036034,23.22081576,48.8842607,48.8842607,4.576819645,1
31.58311524,26.01213675,51.86376251,51.86376251,4.630226645,1
31.58311524,26.01213675,51.86376251,51.86376251,4.630226645,1
24.94365585,18.39253577,41.26603481,41.26603481,4.39502554,0
24.94365585,18.39253577,41.26603481,41.26603481,4.39502554,0
24.23654907,17.9870289,40.3035916,40.3035916,4.366492779,0
24.94365585,18.39253577,41.26603481,41.26603481,4.39502554,0
14.19915477,12.54721827,23.23275519,23.23275519,3.846212486,1
13.0037208,11.80589861,21.16301285,21.16301285,3.759502977,0
21.05144298,16.49413519,36.60362672,36.60362672,4.229456652,0
27.16388365,20.64618537,45.30853158,45.30853158,4.477366267,0
21.05144298,16.49413519,36.60362672,36.60362672,4.229456652,0
21.82749944,17.28008937,37.71596765,37.71596765,4.265258716,0
18.44179545,15.17671798,31.38261356,31.38261356,4.099639001,0
17.55634919,14.36357205,30.67326157,30.67326157,4.057423622,0
34.83157948,26.90580816,56.06884569,56.06884569,4.715285612,1
14.82538132,13.15311926,23.75221587,23.75221587,3.906057855,1
38.32667327,28.64746978,61.76054183,61.76054183,4.809901603,1
22.37689778,17.80076006,35.36396535,35.36396535,4.28878291,0
13.38301741,12.05205358,20.83849905,20.83849905,3.77423432,0
25.14890223,21.2128995,42.37798789,42.37798789,4.423592057,1
12.22766434,11.11491379,20.14722688,20.14722688,3.699344626,1
19.33917226,15.06412751,32.87674493,32.87674493,4.148576972,1
25.50456742,20.52884456,39.52145501,39.52145501,4.420862326,1
38.69214057,31.09660333,62.46556917,62.46556917,4.824098256,1
30.38768128,25.13251399,48.77403244,48.77403244,4.584540573,1
33.10671861,26.87252054,53.90790086,53.90790086,4.673640358,1
36.4924226,28.99281344,59.77178641,59.77178641,4.772914721,1
20.19238291,17.05212976,29.81383487,29.81383487,4.170118643,0
17.04611854,14.48740257,25.88080513,25.88080513,4.006510544,1
16.19915477,13.29558607,26.92723765,26.92723765,3.994834457,1
21.00887949,17.74285385,30.59416103,30.59416103,4.207918861,0
14.70566365,13.88682695,23.75971899,23.75971899,3.879056403,1
15.45160787,13.00834994,25.27043844,25.27043844,3.935519529,1
23.69585123,18.08253474,38.03780104,38.03780104,4.341899088,1
26.20525652,20.49560307,41.64813304,41.64813304,4.438389398,1
25.48435369,16.24926836,41.74409868,41.74409868,4.405928045,1
22.21268798,18.81021757,36.49994875,36.49994875,4.286589063,0
12.82538132,11.56588633,21.39221445,21.39221445,3.754516961,0
15.49204798,13.11348376,26.62780002,26.62780002,3.936040826,1
14.7849412,12.59254024,25.17564316,25.17564316,3.8905054,1
14.30854456,12.81127983,23.74793698,23.74793698,3.860658201,1
15.84407847,12.49872073,26.82709426,26.82709426,3.941364624,1
38.69214057,31.09660333,62.46556917,62.46556917,4.824098256,1
30.31903198,23.57282151,49.81160459,49.81160459,4.588398754,1
18.24119756,16.8575993,29.71011678,29.71011678,4.094346049,1
26.38473886,21.27595585,41.21603191,41.21603191,4.485398034,1
27.31062524,21.8916563,41.89997258,41.89997258,4.51300112,0
28.01773202,22.21333857,43.49848064,43.49848064,4.537688203,1
28.04624159,22.68167272,43.4434856,43.4434856,4.540180075,1
24.99354391,19.80110245,38.51963478,38.51963478,4.383678122,1
23.80968126,18.69188637,38.85177985,38.85177985,4.346694052,1
23.80968126,18.69188637,38.85177985,38.85177985,4.346694052,1
26.68588862,20.29421403,43.06610759,43.06610759,4.45459503,0
